Time (hrs),LED Luminosity,Unit Number,Temperature (K)
1008,0.9527,Unit 13,298.15
1344,0.9343,Unit 13,298.15
1680,0.964,Unit 13,298.15
2016,0.9502,Unit 13,298.15
2352,0.9273,Unit 13,298.15
2688,0.9469,Unit 13,298.15
3024,0.9442,Unit 13,298.15
3360,0.9038,Unit 13,298.15
3696,0.9254,Unit 13,298.15
4032,0.9236,Unit 13,298.15
4368,0.8951,Unit 13,298.15
4704,0.889,Unit 13,298.15
5040,0.9286,Unit 13,298.15
5376,0.8948,Unit 13,298.15
5712,0.8967,Unit 13,298.15
6048,0.8967,Unit 13,298.15
6384,0.8613,Unit 13,298.15
6720,0.9011,Unit 13,298.15
7056,0.9085,Unit 13,298.15
7392,0.8714,Unit 13,298.15
7728,0.8764,Unit 13,298.15
8064,0.9154,Unit 13,298.15
8400,0.8654,Unit 13,298.15
8736,0.8893,Unit 13,298.15
9072,0.8806,Unit 13,298.15
9408,0.8515,Unit 13,298.15
9744,0.8648,Unit 13,298.15
336,0.9284,Unit 14,298.15
672,0.936,Unit 14,298.15
1008,0.9198,Unit 14,298.15
1344,0.8853,Unit 14,298.15
1680,0.9004,Unit 14,298.15
2016,0.8572,Unit 14,298.15
2352,0.8778,Unit 14,298.15
2688,0.8819,Unit 14,298.15
3024,0.8798,Unit 14,298.15
3360,0.8555,Unit 14,298.15
3696,0.8307,Unit 14,298.15
4032,0.8201,Unit 14,298.15
4368,0.8008,Unit 14,298.15
4704,0.7932,Unit 14,298.15
5040,0.8171,Unit 14,298.15
5376,0.7942,Unit 14,298.15
5712,0.7911,Unit 14,298.15
6048,0.7989,Unit 14,298.15
6384,0.7796,Unit 14,298.15
6720,0.7698,Unit 14,298.15
7056,0.7615,Unit 14,298.15
7392,0.7541,Unit 14,298.15
7728,0.7751,Unit 14,298.15
8064,0.7297,Unit 14,298.15
8400,0.7696,Unit 14,298.15
8736,0.7431,Unit 14,298.15
9072,0.75,Unit 14,298.15
9408,0.7259,Unit 14,298.15
9744,0.7333,Unit 14,298.15
336,0.9824,Unit 15,298.15
672,0.9408,Unit 15,298.15
1008,0.9302,Unit 15,298.15
1344,0.9065,Unit 15,298.15
1680,0.8852,Unit 15,298.15
2016,0.8691,Unit 15,298.15
2352,0.858,Unit 15,298.15
2688,0.8477,Unit 15,298.15
3024,0.8265,Unit 15,298.15
3360,0.8172,Unit 15,298.15
3696,0.8378,Unit 15,298.15
4032,0.7898,Unit 15,298.15
4368,0.7646,Unit 15,298.15
4704,0.7585,Unit 15,298.15
5040,0.7643,Unit 15,298.15
5376,0.7495,Unit 15,298.15
5712,0.7784,Unit 15,298.15
6048,0.7421,Unit 15,298.15
6384,0.7334,Unit 15,298.15
6720,0.7602,Unit 15,298.15
7056,0.6877,Unit 15,298.15
7392,0.6894,Unit 15,298.15
7728,0.6884,Unit 15,298.15
8064,0.6928,Unit 15,298.15
8400,0.6598,Unit 15,298.15
8736,0.669,Unit 15,298.15
9072,0.646,Unit 15,298.15
9408,0.641,Unit 15,298.15
9744,0.6292,Unit 15,298.15
336,0.9396,Unit 16,298.15
672,0.93,Unit 16,298.15
1008,0.8748,Unit 16,298.15
1344,0.8764,Unit 16,298.15
1680,0.8696,Unit 16,298.15
2016,0.8686,Unit 16,298.15
2352,0.8597,Unit 16,298.15
2688,0.823,Unit 16,298.15
3024,0.7958,Unit 16,298.15
3360,0.8114,Unit 16,298.15
3696,0.8093,Unit 16,298.15
4032,0.7928,Unit 16,298.15
4368,0.7926,Unit 16,298.15
4704,0.7966,Unit 16,298.15
5040,0.7683,Unit 16,298.15
5376,0.7573,Unit 16,298.15
5712,0.7617,Unit 16,298.15
6048,0.7527,Unit 16,298.15
6384,0.7693,Unit 16,298.15
6720,0.7524,Unit 16,298.15
7056,0.7267,Unit 16,298.15
7392,0.7321,Unit 16,298.15
7728,0.7517,Unit 16,298.15
8064,0.7239,Unit 16,298.15
8400,0.7361,Unit 16,298.15
8736,0.7333,Unit 16,298.15
9072,0.7256,Unit 16,298.15
9408,0.6974,Unit 16,298.15
9744,0.7448,Unit 16,298.15
336,0.9439,Unit 17,298.15
672,0.9076,Unit 17,298.15
1008,0.927,Unit 17,298.15
1344,0.9279,Unit 17,298.15
1680,0.9023,Unit 17,298.15
2016,0.8999,Unit 17,298.15
2352,0.8764,Unit 17,298.15
2688,0.8811,Unit 17,298.15
3024,0.8534,Unit 17,298.15
3360,0.8604,Unit 17,298.15
3696,0.8426,Unit 17,298.15
4032,0.8693,Unit 17,298.15
4368,0.832,Unit 17,298.15
4704,0.8337,Unit 17,298.15
5040,0.8538,Unit 17,298.15
5376,0.8229,Unit 17,298.15
5712,0.8292,Unit 17,298.15
6048,0.7972,Unit 17,298.15
6384,0.7756,Unit 17,298.15
6720,0.8138,Unit 17,298.15
7056,0.7611,Unit 17,298.15
7392,0.8023,Unit 17,298.15
7728,0.7675,Unit 17,298.15
8064,0.7496,Unit 17,298.15
8400,0.7691,Unit 17,298.15
8736,0.7479,Unit 17,298.15
9072,0.7763,Unit 17,298.15
9408,0.7688,Unit 17,298.15
9744,0.7128,Unit 17,298.15
336,0.9512,Unit 18,298.15
672,0.9025,Unit 18,298.15
1008,0.9082,Unit 18,298.15
1344,0.8931,Unit 18,298.15
1680,0.8591,Unit 18,298.15
2016,0.8387,Unit 18,298.15
2352,0.8372,Unit 18,298.15
2688,0.8339,Unit 18,298.15
3024,0.8409,Unit 18,298.15
3360,0.8021,Unit 18,298.15
3696,0.7951,Unit 18,298.15
4032,0.7557,Unit 18,298.15
4368,0.7804,Unit 18,298.15
4704,0.8041,Unit 18,298.15
5040,0.7485,Unit 18,298.15
5376,0.7813,Unit 18,298.15
5712,0.7625,Unit 18,298.15
6048,0.745,Unit 18,298.15
6384,0.7379,Unit 18,298.15
6720,0.7479,Unit 18,298.15
7056,0.7087,Unit 18,298.15
7392,0.7304,Unit 18,298.15
7728,0.7106,Unit 18,298.15
8064,0.7047,Unit 18,298.15
8400,0.7451,Unit 18,298.15
8736,0.6951,Unit 18,298.15
9072,0.6821,Unit 18,298.15
9408,0.6842,Unit 18,298.15
9744,0.6654,Unit 18,298.15
336,0.9553,Unit 19,298.15
672,0.9248,Unit 19,298.15
1008,0.9177,Unit 19,298.15
1344,0.9134,Unit 19,298.15
1680,0.8928,Unit 19,298.15
2016,0.8844,Unit 19,298.15
2352,0.8851,Unit 19,298.15
2688,0.867,Unit 19,298.15
3024,0.8568,Unit 19,298.15
3360,0.8416,Unit 19,298.15
3696,0.8449,Unit 19,298.15
4032,0.8295,Unit 19,298.15
4368,0.8552,Unit 19,298.15
4704,0.8415,Unit 19,298.15
5040,0.8188,Unit 19,298.15
5376,0.7959,Unit 19,298.15
